5
2,Zajezdnia OŁBIN,Słowiańska,0,
20616,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich,3,
20662,PL. STASZICA,pl. Staszica,2,
10602,Pomorska,Pomorska,2,
10004,Rynek,Kazimierza Wlk.,4,
10002,Świdnicka,Kazimierza Wlk.,3,
10031,GALERIA DOMINIKAŃSKA,Oławska,2,
20201,pl. Wróblewskiego,Traugutta,4,
20203,pl. Zgody,Traugutta,2,
20205,Na Niskich Łąkach,Traugutta,1,
25001,Krakowska,Krakowska,2,
25003,KRAKOWSKA (Centrum handlowe),Krakowska,1,
25005,Armii Krajowej,Krakowska,1,
25007,Park Wschodni,Krakowska,1,
25009,Karwińska,Krakowska,2,
25011,Głubczycka,Opolska,1,
25014,KSIĘŻE MAŁE,pętla,0
