33
24214,SĘPOLNO,pętla,0,
24212,Godebskiego (AWF Wrocław),Mickiewicza,1,
24210,8 Maja,Mickiewicza,1,
24208,Stadion Olimpijski,Paderewskiego,1,
24206,Karłowicza,Różyckiego,1,
24204,Chopina,Różyckiego,1,
24202,Kochanowskiego,Różyckiego,2,
20826,Bujwida,pl. Grunwaldzki,2,
20820,PL. GRUNWALDZKI,Rondo Reagana,2,
20822,most Grunwaldzki,pl. Grunwaldzki,1,
20292,Urząd Wojewódzki,pl. Powstańców Warszawy,2,
10032,GALERIA DOMINIKAŃSKA,Oławska,2,
10221,Wzgórze Partyzantów,Piotra Skargi,2,
10223,DWORZEC GŁÓWNY,Kołłątaja,2,
10269,Arkady (Capitol),Piłsudskiego,3,
11201,Zaolziańska,Powstańców Śl.,2,
11203,Wielka,Powstańców Śl.,1,
11205,Rondo,Powstańców Śl.,1,
11207,Sztabowa,Powstańców Śl.,1,
11209,HALLERA,Powstańców Śl.,1,
11211,Jastrzębia,Powstańców Śl.,1,
11213,Orla,Powstańców Śl.,2,
4,Zajezdnia BOREK,Powstańców Śl.,0
