16.9672 51.1307
16.9721 51.1293
16.9761 51.1281
16.9832 51.1255
16.9875 51.1239
16.9934 51.1215
17.0004 51.1166
17.007 51.1131
17.0119 51.1129
17.0205 51.1121
17.0216 51.1074
17.0216 51.1044
17.029 51.1009
17.0306 51.1037
17.0321 51.1055
17.0369 51.1051
17.0397 51.1077
17.039 51.1104
17.0394 51.1127
17.0417 51.1167
17.0511 51.1161
17.0549 51.1163
17.0609 51.1162
17.06 51.1116
17.0664 51.1092
17.0737 51.1069
17.0774 51.1056
17.0842 51.1043
17.0909 51.1038
17.0964 51.1031
17.1018 51.1022
17.1091 51.1013
