5
1,Zajezdnia GAJ,Kamienna,0,
21036,Uniwersytet Ekonomiczny,Kamienna,1,
11036,Sanocka,Ślężna,1,
21002,DWORZEC AUTOBUSOWY,Borowska,2,
20268,DWORZEC GŁÓWNY,Peronowa,3,
10222,Wzgórze Partyzantów,Kołłątaja,2,
10031,GALERIA DOMINIKAŃSKA,Oławska,2,
20201,pl. Wróblewskiego,Traugutta,4,
20203,pl. Zgody,Traugutta,2,
20205,Na Niskich Łąkach,Traugutta,1,
25001,Krakowska,Krakowska,2,
25003,KRAKOWSKA (Centrum handlowe),Krakowska,1,
25005,Armii Krajowej,Krakowska,1,
25007,Park Wschodni,Krakowska,1,
25009,Karwińska,Krakowska,2,
25011,Głubczycka,Opolska,1,
25014,KSIĘŻE MAŁE,pętla,0
