23
12002,Wrocławski Park Przemysłowy,pętla,0,
10414,Śrubowa,Robotnicza,1,
10412,Dolmed,Złotoryjska,2,
10406,pl. Strzegomski (Muzeum Współczesne),Legnicka,2,
10404,Młodych Techników,Legnicka,1,
10402,PL. JANA PAWŁA II,Legnicka,2,
10004,Rynek,Kazimierza Wlk.,2,
10002,Świdnicka,Kazimierza Wlk.,3,
10021,GALERIA DOMINIKAŃSKA,Św. Katarzyny,2,
10027,pl. Nowy Targ,Św. Katarzyny,1,
10023,Hala Targowa,Piaskowa,1,
20621,pl. Bema,Bema,2,
20623,Na Szańcach,Bema,1,
20625,Jedności Narodowej,Poniatowskiego,1,
20627,Nowowiejska,Jedności Narodowej,2,
20631,Daszyńskiego,Jedności Narodowej,1,
20629,Mosty Warszawskie,Jedności Narodowej,1,
24003,KROMERA,Toruńska,3,
24007,Kętrzyńska,Toruńska,1,
24009,Kwidzyńska,Kwidzyńska,1,
24011,Gęsia,Kwidzyńska,1,
24013,Bociania,Kwidzyńska,2,
24015,KOWALE,pętla,0
