15
11242,PARK POŁUDNIOWY,pętla,0,
11240,Pułtuska,Ślężna,1,
11238,Weigla (Szpital),Ślężna,1,
11236,Jaworowa,Ślężna,1,
11234,Wiśniowa,Ślężna,2,
11232,Uniwersytet Ekonomiczny,Ślężna,2,
11036,Sanocka,Ślężna,1,
21002,DWORZEC AUTOBUSOWY,Borowska,2,
10226,DWORZEC GŁÓWNY (Stawowa),Stawowa,2,
10269,Arkady (Capitol),Piłsudskiego,2,
10271,pl. Legionów,Piłsudskiego,2,
10240,Narodowe Forum Muzyki,Krupnicza,2,
10005,Rynek,Kazimierza Wlk.,3,
10601,Pomorska,Pomorska,4,
10603,PL. STASZICA,Pomorska,2,
10605,Kleczkowska,Reymonta,2,
23009,Bałtycka,Bałtycka,3,
23023,Kamieńskiego,Bałtycka,1,
23015,Kamieńskiego,Żmigrodzka,1,
23017,Kępińska,Żmigrodzka,1,
23019,Wołowska,Żmigrodzka,1,
23021,POŚWIĘTNE,pętla,0
