33
1,Zajezdnia GAJ,Kamienna,0,
21036,Uniwersytet Ekonomiczny,Kamienna,1,
11036,Sanocka,Ślężna,1,
21002,DWORZEC AUTOBUSOWY,Borowska,2,
20268,DWORZEC GŁÓWNY,Peronowa,3,
10222,Wzgórze Partyzantów,Kołłątaja,2,
10031,GALERIA DOMINIKAŃSKA,Oławska,2,
20291,Urząd Wojewódzki,pl. Powstańców Warszawy,3,
20821,most Grunwaldzki,pl. Grunwaldzki,1,
20823,PL. GRUNWALDZKI,Rondo Reagana,2,
20825,Bujwida,pl. Grunwaldzki,2,
24201,Kochanowskiego,Różyckiego,2,
24203,Chopina,Różyckiego,1,
24205,Karłowicza,Różyckiego,1,
24207,Stadion Olimpijski,Paderewskiego,1,
24209,8 Maja,Mickiewicza,1,
24211,Godebskiego (AWF Wrocław),Mickiewicza,1,
24214,SĘPOLNO,pętla,0
