8
21022,TARNOGAJ,pętla,0,
21020,Klimasa,Tarnogajska,1,
21018,Transbud,Armii Krajowej,2,
21016,Nyska,Armii Krajowej,1,
21014,BARDZKA,Bardzka,1,
21012,Kamienna,Bardzka,2,
21010,Prudnicka,Hubska,1,
21008,Gajowa,Gliniana,1,
21004,Joannitów,Gliniana,1,
21002,DWORZEC AUTOBUSOWY,Borowska,2,
20268,DWORZEC GŁÓWNY,Peronowa,3,
10222,Wzgórze Partyzantów,Kołłątaja,2,
10021,GALERIA DOMINIKAŃSKA,Św. Katarzyny,2,
10027,pl. Nowy Targ,Św. Katarzyny,1,
10023,Hala Targowa,Piaskowa,1,
20621,pl. Bema,Bema,2,
20623,Na Szańcach,Bema,1,
20625,Jedności Narodowej,Poniatowskiego,1,
20666,Słowiańska,Słowiańska,4,
20610,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich,2,
20615,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich,0,
20617,Trzebnicka,Trzebnicka,2,
23012,KARŁOWICE,Żmigrodzka,0
