17
24214,SĘPOLNO,pętla,0,
24212,Godebskiego (AWF Wrocław),Mickiewicza,1,
24210,8 Maja,Mickiewicza,1,
24208,Stadion Olimpijski,Paderewskiego,1,
24206,Karłowicza,Różyckiego,1,
24204,Chopina,Różyckiego,1,
24202,Kochanowskiego,Różyckiego,2,
20808,Grunwaldzka,Grunwaldzka,1,
20806,Piastowska,Sienkiewicza,1,
20804,Górnickiego,Sienkiewicza,1,
20802,Ogród Botaniczny,Sienkiewicza,1,
20622,pl. Bema,Św. Jadwigi,3,
10024,Hala Targowa,Piaskowa,2,
10026,pl. Nowy Targ,Św. Katarzyny,1,
10022,GALERIA DOMINIKAŃSKA,Św. Katarzyny,1,
10051,Park Staromiejski,Teatralna,2,
10053,Opera,pl. Teatralny,2,
10233,Arkady (Capitol),Świdnicka,4,
11201,Zaolziańska,Powstańców Śl.,2,
11203,Wielka,Powstańców Śl.,1,
11205,Rondo,Powstańców Śl.,1,
11207,Sztabowa,Powstańców Śl.,1,
11209,HALLERA,Powstańców Śl.,1,
11211,Jastrzębia,Powstańców Śl.,1,
11213,Orla,Powstańców Śl.,2,
11215,KRZYKI,Karkonoska,2,
16401,Radio i Telewizja,Karkonoska,2,
16403,Przyjaźni,Przyjaźni,2,
16405,Braterska,Przyjaźni,1,
16407,Sąsiedzka,Przyjaźni,1,
16409,KLECINA,pętla,0
