0P
20619,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich,0,
20609,DWORZEC NADODRZE,pl. Powstańców Wielkopolskich,0,
20665,Słowiańska,Słowiańska,2,
20627,Nowowiejska,Jedności Narodowej,2,
20669,Wyszyńskiego,Nowowiejska,2,
20851,Prusa,Nowowiejska,2,
20853,Piastowska,Piastowska,2,
20824,PL. GRUNWALDZKI,Rondo Reagana,2,
20822,most Grunwaldzki,pl. Grunwaldzki,1,
20292,Urząd Wojewódzki,pl. Powstańców Warszawy,2,
20201,pl. Wróblewskiego,Traugutta,2,
20261,Komuny Paryskiej,Pułaskiego,2,
20263,Kościuszki,Pułaskiego,1,
20265,Pułaskiego,Małachowskiego,2,
20267,DWORZEC GŁÓWNY,Piłsudskiego,2,
10269,Arkady (Capitol),Piłsudskiego,3,
10271,pl. Legionów,Piłsudskiego,2,
10273,pl. Orląt Lwowskich,Piłsudskiego,2,
10451,PL. JANA PAWŁA II,Podwale,2,
10651,Dmowskiego,Jagiełły,2,
10655,Pomorska,Dubois,2,
20661,PL. STASZICA,pl. Staszica,2,
20607,DWORZEC NADODRZE,pl. Staszica,0
