(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.0911,51.1137)
(17.1039,51.1143)
(17.1039,51.1143)
(17.1039,51.1143)
(17.0911,51.1137)
(17.1039,51.1143)
(17.0911,51.1137)
(17.1039,51.1143)
(17.1039,51.1143)
(17.0911,51.1137)
(17.0911,51.1137)
(17.1039,51.1143)
(17.1039,51.1143)
(17.1039,51.1143)
(17.1039,51.1143)
(17.1039,51.1143)
(17.0911,51.1137)
(17.1039,51.1143)
(17.1039,51.1143)
(17.09,51.117)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.09,51.117)
(17.098,51.1139)
(17.09,51.117)
(17.098,51.1139)
(17.098,51.1139)
(17.09,51.117)
(17.09,51.117)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.098,51.1139)
(17.09,51.117)
(17.098,51.1139)
(17.098,51.1139)
(17.0865,51.117)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0865,51.117)
(17.0865,51.117)
(17.0911,51.1137)
(17.0865,51.117)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0865,51.117)
(17.0865,51.117)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0911,51.1137)
(17.0865,51.117)
(17.0911,51.1137)
(17.0911,51.1137)
(17.082,51.1169)
(17.09,51.117)
(17.09,51.117)
(17.09,51.117)
(17.082,51.1169)
(17.082,51.1169)
(17.09,51.117)
(17.082,51.1169)
(17.09,51.117)
(17.09,51.117)
(17.082,51.1169)
(17.082,51.1169)
(17.09,51.117)
(17.09,51.117)
(17.09,51.117)
(17.09,51.117)
(17.09,51.117)
(17.082,51.1169)
(17.09,51.117)
(17.09,51.117)
(17.0735,51.1151)
(17.0865,51.117)
(17.0865,51.117)
(17.0865,51.117)
(17.0735,51.1151)
(17.0735,51.1151)
(17.0865,51.117)
(17.0735,51.1151)
(17.0865,51.117)
(17.0865,51.117)
(17.0735,51.1151)
(17.0735,51.1151)
(17.0865,51.117)
(17.0865,51.117)
(17.0865,51.117)
(17.0865,51.117)
(17.0865,51.117)
(17.0735,51.1151)
(17.0865,51.117)
(17.0865,51.117)
(17.0675,51.1136)
(17.082,51.1169)
(17.082,51.1169)
(17.082,51.1169)
(17.0675,51.1136)
(17.0675,51.1136)
(17.082,51.1169)
(17.0668,51.1151)
(17.082,51.1169)
(17.082,51.1169)
(17.0668,51.1151)
(17.0668,51.1151)
(17.082,51.1169)
(17.082,51.1169)
(17.082,51.1169)
(17.082,51.1169)
(17.082,51.1169)
(17.0668,51.1151)
(17.082,51.1169)
(17.082,51.1169)
(17.06,51.1116)
(17.0735,51.1151)
(17.0735,51.1151)
(17.0735,51.1151)
(17.06,51.1116)
(17.06,51.1116)
(17.0554,51.1102)
(17.0675,51.1136)
(17.0675,51.1136)
(17.0675,51.1136)
(17.0554,51.1102)
(17.0554,51.1102)
(17.0664,51.1092)
(17.0554,51.1102)
(17.0664,51.1092)
(17.0609,51.1162)
(17.0554,51.1102)
(17.0609,51.1162)
(17.0664,51.1092)
(17.0664,51.1092)
(17.0664,51.1092)
(17.0609,51.1162)
(17.0609,51.1162)
(17.0569,51.1124)
(17.0664,51.1092)
