9
24214,SĘPOLNO,pętla,0,
24212,Godebskiego (AWF Wrocław),Mickiewicza,1,
24210,8 Maja,Mickiewicza,1,
24208,Stadion Olimpijski,Paderewskiego,1,
24206,Karłowicza,Różyckiego,1,
24204,Chopina,Różyckiego,1,
24202,Kochanowskiego,Różyckiego,2,
20808,Grunwaldzka,Grunwaldzka,1,
20806,Piastowska,Sienkiewicza,1,
20804,Górnickiego,Sienkiewicza,1,
20802,Ogród Botaniczny,Sienkiewicza,1,
20622,pl. Bema,Św. Jadwigi,3,
10024,Hala Targowa,Piaskowa,2,
10026,pl. Nowy Targ,Św. Katarzyny,1,
10022,GALERIA DOMINIKAŃSKA,Św. Katarzyny,1,
10221,Wzgórze Partyzantów,Piotra Skargi,2,
10223,DWORZEC GŁÓWNY,Kołłątaja,2,
20269,DWORZEC GŁÓWNY,Peronowa,1,
11001,DWORZEC AUTOBUSOWY,Borowska,2,
11035,Sanocka,Ślężna,3,
11231,Uniwersytet Ekonomiczny,Ślężna,1,
11233,Wiśniowa,Ślężna,2,
11235,Jaworowa,Ślężna,1,
11237,Weigla (Szpital),Ślężna,2,
11239,Pułtuska,Ślężna,1,
11242,PARK POŁUDNIOWY,pętla,0
