3
25014,KSIĘŻE MAŁE,pętla,0,
25012,Głubczycka,Opolska,1,
25010,Karwińska,Krakowska,1,
25008,Park Wschodni,Krakowska,1,
25006,Armii Krajowej,Krakowska,1,
25004,KRAKOWSKA (Centrum handlowe),Krakowska,1,
25002,Krakowska,Krakowska,1,
20206,Na Niskich Łąkach,Krakowska,2,
20204,pl. Zgody,Traugutta,1,
20202,pl. Wróblewskiego,Traugutta,3,
10032,GALERIA DOMINIKAŃSKA,Oławska,3,
10001,Świdnicka,Kazimierza Wlk.,2,
10003,Rynek,Kazimierza Wlk.,3,
10401,PL. JANA PAWŁA II,Legnicka,2,
10403,Młodych Techników,Legnicka,2,
10405,pl. Strzegomski (Muzeum Współczesne),Legnicka,1,
10407,ZACHODNIA (Stacja kolejowa),Legnicka,2,
12201,Niedźwiedzia,Legnicka,2,
12203,Małopanewska,Legnicka,1,
12205,Kwiska,Legnicka,1,
12401,DH Astra,Lotnicza,2,
12403,Park Zachodni,Lotnicza,1,
12405,Bajana,Lotnicza,1,
12407,Metalowców,Lotnicza,1,
12409,PILCZYCE,Lotnicza,2,
18013,Stadion Wrocław (Lotnicza),Lotnicza,1,
18001,Glinianki,Kosmonautów,2,
18017,Kosmonautów (Nowe Żerniki),Kosmonautów,1,
18003,Grabowa,Kosmonautów,1,
18015,Kosmonautów (Szpital),Kosmonautów,2,
18005,Kamiennogórska (Ośrodek dla niewidomych),Kosmonautów,1,
18007,Złotnicka,Kosmonautów,2,
18009,Wschowska,Kosmonautów,1,
18011,Jeleniogórska,Kosmonautów,1,
18201,LEŚNICA,pętla,0
